Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
Pollitt,Harry,United Kingdom,National Minority Movement,2LAI,"Ellison, ""The League Against Imperialism (British Section)"" 17; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325",,,,,,,,,,,,
Popper,Kathryn,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Popper,Martin,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Powell,Adam Clayton,United States,Congressman; Pastor,AAConfBandung,"Wright, Colored Curtain 1103",,,,,,,,,,,,
Prabodh Kumar Sanyal,,India,Writer (Bengali),1AAWConf,,,,,,,,,,,,,
Pralhad Keshav Atre,,India,Writer; Politician,1AAWConf,,,,,,,,,,,,,
Price-Mars,Jean,Haiti,Historian; diplomat; politician; ethnographer,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Pu-seng,Ta,China,Deputy ot the First National People's Congress of the People's Republic of China; Member of the 2nd National Committee of Chinese People's Consultative Conference; Vice Chairman of China Islamic Association,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Pudjobuntoro,,Indonesia,"Member, Adminstrative and Executive Council",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Pulcherrie Pierre,A. ,Trinidad,,1PanConf,Geiss The Pan-African Movement 183,,,,,,,,,,,,
Purushottam Yashwant Deshpande,,India,Writer (Malathi); Politician,1AAWConf,,,,,,,,,,,,,
Putz,A. ,Germany,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Qiao,Guanhua,China,Assistant to the Minister for Foreign Affairs,AAConfBandung,"""Regarding the Composition""; ""Cable from Zhang Hanfu, 'Daily Report on the Activities of the Delegation',"" April 21, 1955; Seperempat Abad 50",,,,,,,,,,,,
Quidde,Ludwig,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Quijano,Carlos,Venezuela,Revolutionary Nationalist Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Quinlan,John E.,St. Lucia,land surveyor,1PanConf,Geiss The Pan-African Movement 183,,,,,,,,,,,,
Quinones,Samuel,Puerto Rico,All-America Anti-Imperialist League,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
R. H. Abdul Kadir,,Indonesia,Military general,AAConfBandung,,,,,,,,,,,,,
Ra'uf,Rashid,Iraq,Diplomat; Foreign affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Rab̩mananjara,Jacques,Madagascar,Poet; Playwright,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Raham,S. A. ,India,Edinburgh Hindoo Students Union,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
